t	X1	Y1
s	m	m
 15,49506092	 0,00000000	-0,01033898
 15,50013733	 0,00000000	-0,01033898
 15,50521469	 0,00033898	-0,01033898
 15,51029110	 0,00033898	-0,01033898
 15,51536846	 0,00033898	-0,01033898
 15,52044582	 0,00033898	-0,01033898
 15,52552223	 0,00033898	-0,01033898
 15,53059959	 0,00033898	-0,01033898
 15,53567696	 0,00033898	-0,01033898
 15,54075336	 0,00000000	-0,01033898
 15,54583073	 0,00000000	-0,01033898
 15,55090809	 0,00000000	-0,01033898
 15,55598450	 0,00000000	-0,01033898
 15,56106186	 0,00000000	-0,01033898
 15,56613827	 0,00000000	-0,01033898
 15,57121563	 0,00000000	-0,01033898
 15,57629299	 0,00000000	-0,01033898
 15,58136940	 0,00000000	-0,01033898
 15,58644676	 0,00000000	-0,01033898
 15,59152412	 0,00000000	-0,01033898
 15,59660053	 0,00000000	-0,01033898
 15,60167789	 0,00000000	-0,01033898
 15,60675526	 0,00000000	-0,01033898
 15,61183167	 0,00000000	-0,01033898
 15,61690903	 0,00000000	-0,01033898
 15,62198639	 0,00000000	-0,01033898
 15,62706280	 0,00000000	-0,01033898
 15,63214016	-0,00033898	-0,01033898
 15,63721657	-0,00033898	-0,01033898
 15,64229393	 0,00000000	-0,01033898
 15,64737129	 0,00000000	-0,01033898
 15,65244770	 0,00000000	-0,01033898
 15,65752506	 0,00000000	-0,01033898
 15,66260242	 0,00000000	-0,01033898
 15,66767883	 0,00000000	-0,01033898
 15,67275620	 0,00000000	-0,01033898
 15,67783356	 0,00000000	-0,01033898
 15,68290997	 0,00000000	-0,01033898
 15,68798733	 0,00000000	-0,01033898
 15,69306374	 0,00000000	-0,01033898
 15,69814110	 0,00000000	-0,01033898
 15,70321846	 0,00000000	-0,01033898
 15,70829487	 0,00000000	-0,01033898
 15,71337223	 0,00000000	-0,01033898
 15,71844959	 0,00000000	-0,01033898
 15,72352600	 0,00000000	-0,01033898
 15,72860336	 0,00000000	-0,01033898
 15,73368073	 0,00000000	-0,01033898
 15,73875713	 0,00000000	-0,01033898
 15,74383450	 0,00000000	-0,01033898
 15,74891186	 0,00000000	-0,01033898
 15,75398827	 0,00000000	-0,01033898
 15,75906563	 0,00000000	-0,01033898
 15,76414204	 0,00000000	-0,01033898
 15,76921940	 0,00000000	-0,01033898
 15,77429676	 0,00000000	-0,01033898
 15,77937317	 0,00000000	-0,01033898
 15,78445053	 0,00000000	-0,01033898
 15,78952789	 0,00000000	-0,01033898
 15,79460430	 0,00000000	-0,01033898
 15,79968166	 0,00000000	-0,01033898
 15,80475903	 0,00000000	-0,01033898
 15,80983543	 0,00000000	-0,01033898
 15,81491280	 0,00000000	-0,01033898
 15,81998920	 0,00000000	-0,01033898
 15,82506657	 0,00000000	-0,01033898
 15,83014393	 0,00000000	-0,01033898
 15,83522034	 0,00000000	-0,01033898
 15,84029770	 0,00000000	-0,01033898
 15,84537506	 0,00000000	-0,01033898
 15,85045147	 0,00000000	-0,01033898
 15,85552883	 0,00000000	-0,01033898
 15,86060619	 0,00000000	-0,01033898
 15,86568260	 0,00000000	-0,01033898
 15,87075996	 0,00000000	-0,01033898
 15,87583733	 0,00000000	-0,01033898
 15,88091373	 0,00000000	-0,01033898
 15,88599110	 0,00000000	-0,01033898
 15,89106750	 0,00000000	-0,01033898
 15,89614487	 0,00000000	-0,01033898
 15,90122223	 0,00000000	-0,01067797
 15,90629864	 0,00000000	-0,01033898
 15,91137600	 0,00000000	-0,01067797
 15,91645336	 0,00000000	-0,01067797
 15,92152977	 0,00000000	-0,01067797
 15,92660713	 0,00000000	-0,01067797
 15,93168449	 0,00000000	-0,01067797
 15,93676090	 0,00000000	-0,01067797
 15,94183826	 0,00000000	-0,01067797
 15,94691467	 0,00000000	-0,01067797
 15,95199203	 0,00000000	-0,01067797
 15,95706940	 0,00000000	-0,01067797
 15,96214581	 0,00000000	-0,01067797
 15,96722317	 0,00000000	-0,01101695
 15,97230053	 0,00000000	-0,01101695
 15,97737694	 0,00000000	-0,01101695
 15,98245430	 0,00000000	-0,01101695
 15,98753166	 0,00000000	-0,01067797
 15,99260807	 0,00000000	-0,01101695
 15,99768543	 0,00000000	-0,01101695
 16,00276184	 0,00000000	-0,01101695
 16,00783920	 0,00000000	-0,01101695
 16,01291656	 0,00000000	-0,01067797
 16,01799393	 0,00000000	-0,01101695
 16,02307129	 0,00000000	-0,01067797
 16,02814674	-0,00033898	-0,01067797
