Time	Channel A
(us)	(V)

-28.72999898	-0.08323081
-28.72799898	-0.08427657
-28.72599898	-0.08427657
-28.72399898	-0.08427657
-28.72199898	-0.08427657
-28.71999898	-0.08427657
-28.71799898	-0.08323081
-28.71599898	-0.08323081
-28.71399898	-0.08323081
-28.71199898	-0.08323081
-28.70999898	-0.08218504
-28.70799898	-0.08218504
-28.70599898	-0.08218504
-28.70399898	-0.08218504
-28.70199898	-0.08107775
-28.69999898	-0.08107775
-28.69799898	-0.08107775
-28.69599898	-0.08003199
-28.69399898	-0.08003199
-28.69199898	-0.08003199
-28.68999898	-0.07898622
-28.68799898	-0.08003199
-28.68599898	-0.08003199
-28.68399898	-0.07898622
-28.68199898	-0.07787894
-28.67999898	-0.07683317
-28.67799898	-0.07683317
-28.67599898	-0.07683317
-28.67399898	-0.07578740
-28.67199898	-0.07468012
-28.66999898	-0.07578740
-28.66799898	-0.07468012
-28.66599898	-0.07468012
-28.66399898	-0.07468012
-28.66199898	-0.07363435
-28.65999898	-0.07258859
-28.65799898	-0.07258859
-28.65599898	-0.07148130
-28.65399898	-0.07258859
-28.65199898	-0.07258859
-28.64999898	-0.07258859
-28.64799899	-0.07258859
-28.64599899	-0.07258859
-28.64399899	-0.07258859
-28.64199899	-0.07258859
-28.63999899	-0.07258859
-28.63799899	-0.07148130
-28.63599899	-0.07148130
-28.63399899	-0.07043553
-28.63199899	-0.07043553
-28.62999899	-0.07043553
-28.62799899	-0.07043553
-28.62599899	-0.07043553
-28.62399899	-0.07043553
-28.62199899	-0.06938976
-28.61999899	-0.06938976
-28.61799899	-0.07043553
-28.61599899	-0.07043553
-28.61399899	-0.07148130
-28.61199899	-0.07043553
-28.60999899	-0.07043553
-28.60799899	-0.07043553
-28.60599899	-0.07148130
-28.60399899	-0.07148130
-28.60199899	-0.07148130
-28.59999899	-0.07148130
-28.59799899	-0.07148130
-28.59599899	-0.07148130
-28.59399899	-0.07148130
-28.59199899	-0.07148130
-28.58999899	-0.07148130
-28.58799899	-0.07148130
-28.58599899	-0.07043553
-28.58399899	-0.07043553
-28.58199899	-0.06938976
-28.57999899	-0.06938976
-28.57799899	-0.06938976
-28.57599899	-0.06938976
-28.57399899	-0.06834400
-28.57199899	-0.06834400
-28.56999899	-0.06834400
-28.56799899	-0.06834400
-28.56599899	-0.06834400
-28.56399899	-0.06834400
-28.56199899	-0.06834400
-28.55999899	-0.06834400
-28.55799899	-0.06834400
-28.55599899	-0.06834400
-28.55399899	-0.06834400
-28.55199899	-0.06834400
-28.54999899	-0.06834400
-28.54799899	-0.06834400
-28.54599899	-0.06834400
-28.54399899	-0.06834400
-28.54199899	-0.06834400
-28.53999899	-0.06834400
-28.53799899	-0.06834400
-28.53599899	-0.06834400
-28.53399899	-0.06834400
-28.53199899	-0.06834400
-28.52999899	-0.06834400
-28.52799899	-0.06834400
-28.52599899	-0.06834400
-28.52399899	-0.06834400
-28.52199899	-0.06834400
-28.51999899	-0.06834400
-28.51799899	-0.06834400
-28.51599899	-0.06834400
-28.51399899	-0.06834400
-28.51199899	-0.06834400
-28.50999899	-0.06834400
-28.50799899	-0.06834400
-28.50599899	-0.06834400
-28.50399899	-0.06834400
-28.50199899	-0.06834400
-28.49999899	-0.06834400
-28.49799899	-0.06834400
-28.49599899	-0.06834400
-28.49399899	-0.06834400
-28.49199899	-0.06834400
-28.48999899	-0.06834400
-28.48799899	-0.06834400
-28.48599899	-0.06834400
-28.48399899	-0.06834400
-28.48199899	-0.06834400
-28.47999899	-0.06834400
-28.47799899	-0.06834400
-28.47599899	-0.06834400
-28.47399899	-0.06834400
-28.47199899	-0.06834400
-28.46999899	-0.06834400
-28.46799899	-0.06834400
-28.46599899	-0.06834400
-28.46399899	-0.06834400
-28.46199899	-0.06834400
-28.45999899	-0.06834400
-28.45799899	-0.06834400
-28.45599899	-0.06834400
-28.45399899	-0.06834400
-28.45199899	-0.06834400
-28.44999899	-0.06834400
-28.44799899	-0.06834400
-28.44599899	-0.06834400
-28.44399899	-0.06834400
-28.44199899	-0.06834400
-28.43999899	-0.06834400
-28.43799899	-0.06834400
-28.43599899	-0.06834400
-28.43399899	-0.06834400
-28.43199899	-0.06834400
-28.42999899	-0.06834400
-28.42799899	-0.06834400
-28.42599899	-0.06834400
-28.42399899	-0.06834400
-28.42199899	-0.06834400
-28.41999899	-0.06834400
-28.41799899	-0.06834400
-28.41599899	-0.06834400
-28.41399899	-0.06834400
-28.41199899	-0.06834400
-28.40999899	-0.06834400
-28.40799899	-0.06834400
-28.40599899	-0.06834400
-28.40399899	-0.06834400
-28.40199899	-0.06834400
-28.39999899	-0.06834400
-28.39799899	-0.06834400
-28.39599899	-0.06834400
-28.39399899	-0.06834400
-28.39199899	-0.06834400
-28.38999899	-0.06834400
-28.38799899	-0.06834400
-28.38599899	-0.06834400
-28.38399899	-0.06834400
-28.38199899	-0.06834400
-28.37999899	-0.06834400
-28.37799899	-0.06834400
-28.37599899	-0.06834400
-28.37399899	-0.06834400
-28.37199899	-0.06834400
-28.36999899	-0.06834400
-28.36799899	-0.06834400
-28.36599899	-0.06834400
-28.36399899	-0.06834400
-28.36199899	-0.06834400
-28.35999899	-0.06834400
-28.35799899	-0.06834400
-28.35599899	-0.06834400
-28.35399899	-0.06834400
-28.35199899	-0.06834400
-28.34999899	-0.06834400
-28.34799899	-0.06834400
-28.34599899	-0.06834400
-28.34399899	-0.06834400
-28.34199899	-0.06834400
-28.33999899	-0.06834400
-28.33799899	-0.06834400
-28.33599899	-0.06834400
-28.33399899	-0.06834400
-28.33199899	-0.06834400
-28.32999899	-0.06834400
-28.32799899	-0.06834400
-28.32599899	-0.06834400
-28.32399899	-0.06834400
-28.32199899	-0.06834400
-28.31999899	-0.06834400
-28.31799899	-0.06834400
-28.31599899	-0.06834400
-28.31399899	-0.06834400
-28.31199899	-0.06834400
-28.30999899	-0.06834400
-28.30799899	-0.06834400
-28.30599899	-0.06834400
-28.30399899	-0.06834400
-28.30199899	-0.06834400
-28.29999899	-0.06834400
-28.29799899	-0.06834400
-28.29599900	-0.06834400
-28.29399900	-0.06834400
-28.29199900	-0.06834400
-28.28999900	-0.06834400
-28.28799900	-0.06834400
-28.28599900	-0.06834400
-28.28399900	-0.06834400
-28.28199900	-0.06834400
-28.27999900	-0.06834400
-28.27799900	-0.06834400
-28.27599900	-0.06834400
-28.27399900	-0.06834400
-28.27199900	-0.06834400
-28.26999900	-0.06834400
-28.26799900	-0.06834400
-28.26599900	-0.06834400
-28.26399900	-0.06834400
-28.26199900	-0.06834400
-28.25999900	-0.06834400
-28.25799900	-0.06834400
-28.25599900	-0.06834400
-28.25399900	-0.06834400
-28.25199900	-0.06834400
-28.24999900	-0.06834400
-28.24799900	-0.06834400
-28.24599900	-0.06834400
-28.24399900	-0.06834400
-28.24199900	-0.06834400
-28.23999900	-0.06834400
-28.23799900	-0.06834400
-28.23599900	-0.06834400
-28.23399900	-0.06834400
-28.23199900	-0.06834400
-28.22999900	-0.06834400
-28.22799900	-0.06834400
-28.22599900	-0.06834400
-28.22399900	-0.06834400
-28.22199900	-0.06834400
-28.21999900	-0.06834400
-28.21799900	-0.06834400
-28.21599900	-0.06834400
-28.21399900	-0.06834400
-28.21199900	-0.06834400
-28.20999900	-0.06834400
-28.20799900	-0.06834400
-28.20599900	-0.06834400
-28.20399900	-0.06834400
-28.20199900	-0.06834400
-28.19999900	-0.06834400
-28.19799900	-0.06834400
-28.19599900	-0.06834400
-28.19399900	-0.06834400
-28.19199900	-0.06834400
-28.18999900	-0.06834400
-28.18799900	-0.06834400
-28.18599900	-0.06834400
-28.18399900	-0.06834400
-28.18199900	-0.06834400
-28.17999900	-0.06834400
-28.17799900	-0.06834400
-28.17599900	-0.06834400
-28.17399900	-0.06834400
-28.17199900	-0.06834400
-28.16999900	-0.06834400
-28.16799900	-0.06834400
-28.16599900	-0.06834400
-28.16399900	-0.06834400
-28.16199900	-0.06834400
-28.15999900	-0.06834400
-28.15799900	-0.06834400
-28.15599900	-0.06834400
-28.15399900	-0.06834400
-28.15199900	-0.06834400
-28.14999900	-0.06834400
-28.14799900	-0.06834400
-28.14599900	-0.06834400
-28.14399900	-0.06834400
-28.14199900	-0.06834400
-28.13999900	-0.06834400
-28.13799900	-0.06834400
-28.13599900	-0.06834400
-28.13399900	-0.06723671
-28.13199900	-0.06723671
-28.12999900	-0.06723671
-28.12799900	-0.06723671
-28.12599900	-0.06723671
-28.12399900	-0.06723671
-28.12199900	-0.06723671
-28.11999900	-0.06723671
-28.11799900	-0.06723671
-28.11599900	-0.06723671
-28.11399900	-0.06723671
-28.11199900	-0.06723671
-28.10999900	-0.06723671
-28.10799900	-0.06723671
-28.10599900	-0.06723671
-28.10399900	-0.06723671
-28.10199900	-0.06834400
-28.09999900	-0.06834400
-28.09799900	-0.06834400
-28.09599900	-0.06834400
-28.09399900	-0.06834400
-28.09199900	-0.06834400
-28.08999900	-0.06834400
-28.08799900	-0.06834400
-28.08599900	-0.06834400
-28.08399900	-0.06834400
-28.08199900	-0.06723671
-28.07999900	-0.06723671
-28.07799900	-0.06723671
-28.07599900	-0.06619094
-28.07399900	-0.06508366
-28.07199900	-0.06508366
-28.06999900	-0.06508366
-28.06799900	-0.06508366
-28.06599900	-0.06508366
-28.06399900	-0.06508366
-28.06199900	-0.06508366
-28.05999900	-0.06508366
-28.05799900	-0.06508366
